"","dps","health_zone","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","V11","dps_sv","hz_sv"
"1",NA,"lukashi-lualu","Kasai Oriental",91,"Lukashi lualu",NA,NA,NA,NA,NA,"",NA,NA
"2",NA,"mbomomange","Province Oriental",225,"Mbomomange",NA,NA,NA,NA,NA,"",NA,NA
"3","0","manguredj",NA,NA,NA,NA,NA,NA,"manguredj","0","",NA,NA
"4","bas-uele","aketi","Province Oriental",388,"Aketi","Aketi","bu Bas Uele Province","bu Aketi Zone de Santé","aketi","bas-uele","","bu Bas Uele","bu Aketi"
"5","bas-uele","ango","Province Oriental",438,"Ango","Ango","bu Bas Uele Province","bu Ango Zone de Santé","ango","bas-uele","","bu Bas Uele","bu Ango"
"6","bas-uele","bili","Equateur",431,"Bili","Bili","bu Bas Uele Province","bu Bili Zone de Santé","bili","bas-uele","","bu Bas Uele","bu Bili"
"7","bas-uele","bili","Province Oriental",437,"Bili","Bili","bu Bas Uele Province","bu Bili Zone de Santé","bili","bas-uele","","bu Bas Uele","bu Bili"
"8","bas-uele","bondo","Province Oriental",436,"Bondo","Bondo","bu Bas Uele Province","bu Bondo Zone de Santé","bondo","bas-uele","","bu Bas Uele","bu Bondo"
"9","bas-uele","buta","Province Oriental",216,"Buta","Buta","bu Bas Uele Province","bu Buta Zone de Santé","buta","bas-uele","","bu Bas Uele","bu Buta"
"10","bas-uele","ganga","Province Oriental",218,"Ganga",NA,"bu Bas Uele Province","bu Ganga Zone de Santé","ganga","bas-uele","","bu Bas Uele","bu Ganga"
"11","bas-uele","likati","Province Oriental",387,"Likati","Likati","bu Bas Uele Province","bu Likati Zone de Santé","likati","bas-uele","","bu Bas Uele","bu Likati"
"12","bas-uele","monga","Province Oriental",435,"Monga","Monga","bu Bas Uele Province","bu Monga Zone de Santé","monga","bas-uele","","bu Bas Uele","bu Monga"
"13","bas-uele","poko","Province Oriental",191,"Poko","Poko","bu Bas Uele Province","bu Poko Zone de Santé","poko","bas-uele","","bu Bas Uele","bu Poko"
"14","bas-uele","titule","Province Oriental",217,"Titule","Titule","bu Bas Uele Province","bu Titule Zone de Santé","titule","bas-uele","","bu Bas Uele","bu Titule"
"15","bas-uele","viandana","Province Oriental",190,"Viandana","Viadana","bu Bas Uele Province","bu Viadana Zone de Santé","viadana","bas-uele","","bu Bas Uele","bu Viadana"
"16","equateur","basankusu","Equateur",5,"Basankusu","Basankusu","eq Equateur Province","eq Basankusu Zone de Santé","basankusu","equateur","","eq Equateur","eq Basankusu"
"17","equateur","bikoro","Equateur",422,"Bikoro","Bikoro","eq Equateur Province","eq Bikoro Zone de Santé","bikoro","equateur","","eq Equateur","eq Bikoro"
"18","equateur","bolomba","Equateur",302,"Bolomba","Bolomba","eq Equateur Province","eq Bolomba Zone de Santé","bolomba","equateur","","eq Equateur","eq Bolomba"
"19","equateur","bolonge","Equateur",231,"Bolonge","Bolenge","eq Equateur Province","eq Bolenge Zone de Santé","bolenge","equateur","","eq Equateur","eq Bolenge"
"20","equateur","bomongo","Equateur",425,"Bomongo","Bomongo","eq Equateur Province","eq Bomongo Zone de Santé","bomongo","equateur","","eq Equateur","eq Bomongo"
"21","equateur","djombo","Equateur",2,"Djombo","Djombo","eq Equateur Province","eq Djombo Zone de Santé","djombo","equateur","","eq Equateur","eq Djombo"
"22","equateur","iboko","Equateur",297,"Iboko","Iboko","eq Equateur Province","eq Iboko Zone de Santé","iboko","equateur","","eq Equateur","eq Iboko"
"23","equateur","ingende","Equateur",298,"Ingende","Ingende","eq Equateur Province","eq Ingende Zone de Santé","ingende","equateur","","eq Equateur","eq Ingende"
"24","equateur","irebu","Equateur",421,"Irebu","Irebu","eq Equateur Province","eq Irebu Zone de Santé","irebu","equateur","","eq Equateur","eq Irebu"
"25","equateur","lilanga-bobangi","Equateur",426,"lilanga Bobangi","Lilanga Bobanga","eq Equateur Province","eq Lilanga Bobangi Zone de Santé","lilanga bobanga","equateur","","eq Equateur","eq Lilanga Bobangi"
"26","equateur","lotumbe","Equateur",301,"Lotumbe","Lotumbe","eq Equateur Province","eq Lotumbe Zone de Santé","lotumbe","equateur","","eq Equateur","eq Lotumbe"
"27","equateur","lukolela","Equateur",423,"Lukolela","Lukolela","eq Equateur Province","eq Lukolela Zone de Santé","lukolela","equateur","","eq Equateur","eq Lukolela"
"28","equateur","mampoko","Equateur",295,"Mampoko","Lolanga Mampoko","eq Equateur Province","eq Mampoko Zone de Santé","lolanga mampoko","equateur","","eq Equateur","eq Mampoko"
"29","equateur","mankanza","Equateur",313,"Mankanza","Makanza","eq Equateur Province","eq Makanza Zone de Santé","makanza","equateur","","eq Equateur","eq Makanza"
"30","equateur","mbandaka","Equateur",299,"Mbandaka","Mbandaka","eq Equateur Province","eq Mbandaka Zone de Santé","mbandaka","equateur","","eq Equateur","eq Mbandaka"
"31","equateur","monika","Equateur",300,"Monika","Monieka","eq Equateur Province","eq Monieka Zone de Santé","monieka","equateur","","eq Equateur","eq Monieka"
"32","equateur","ntondo","Equateur",296,"Ntondo","Ntondo","eq Equateur Province","eq Ntondo Zone de Santé","ntondo","equateur","","eq Equateur","eq Ntondo"
"33","equateur","wangata","Equateur",230,"Wangata","Wangata","eq Equateur Province","eq Wangata Zone de Santé","wangata","equateur","","eq Equateur","eq Wangata"
"34","haut-katanga","kafubu","Katanga",483,"Kafubu","Kafubu","hk Haut Katanga Province","hk Kafubu Zone de Santé","kafubu","haut-katanga","","hk Haut Katanga","hk Kafubu"
"35","haut-katanga","kamalondo",NA,516,"ZS Kamalondo",NA,"hk Haut Katanga Province","hk Kamalondo Zone de Santé","kamalondo","haut-katanga","","hk Haut Katanga","hk Kamalondo"
"36","haut-katanga","kambove","Katanga",112,"Kambove","Kambove","hk Haut Katanga Province","hk Kambove Zone de Santé","kambove","haut-katanga","","hk Haut Katanga","hk Kambove"
"37","haut-katanga","kampemba","Haut Katanga",512,"Kampemba",NA,"hk Haut Katanga Province","hk Kampemba Zone de Santé","kampemba","haut-katanga","","hk Haut Katanga","hk Kampemba"
"38","haut-katanga","kapolobwe","Katanga",351,"Kapolobwe","Kapolowe","hk Haut Katanga Province","hk Kapolowe Zone de Santé","kapolowe","haut-katanga","","hk Haut Katanga","hk Kapolowe"
"39","haut-katanga","kasenga","Katanga",446,"Kasenga","Kasenga","hk Haut Katanga Province","hk Kasenga Zone de Santé","kasenga","haut-katanga","","hk Haut Katanga","hk Kasenga"
"40","haut-katanga","kashobwe",NA,NA,NA,NA,"hk Haut Katanga Province","hk Kashobwe Zone de Santé","kashobwe","haut-katanga","","hk Haut Katanga","hk Kashobwe"
"41","haut-katanga","katuba","Haut Katanga",507,"Katuba",NA,"hk Haut Katanga Province","hk Katuba Zone de Santé","katuba","haut-katanga","","hk Haut Katanga","hk Katuba"
"42","haut-katanga","kenya","Haut Katanga",508,"Kenya",NA,"hk Haut Katanga Province","hk Kenya Zone de Santé","kenya","haut-katanga","","hk Haut Katanga","hk Kenya"
"43","haut-katanga","kikula","Katanga",350,"Kikula","Kikula","hk Haut Katanga Province","hk Kikula Zone de Santé","kikula","haut-katanga","","hk Haut Katanga","hk Kikula"
"44","haut-katanga","kilela-balanda","Katanga",484,"Kilela Balanda","Kilela Balanda","hk Haut Katanga Province","hk Kilela Balanda Zone de Santé","kilela balanda","haut-katanga","","hk Haut Katanga","hk Kilela Balanda"
"45","haut-katanga","kilwa","Katanga",345,"Kilwa","Kilwa","hk Haut Katanga Province","hk Kilwa Zone de Santé","kilwa","haut-katanga","","hk Haut Katanga","hk Kilwa"
"46","haut-katanga","kipushi","Katanga",481,"Kipushi","Kipushi","hk Haut Katanga Province","hk Kipushi Zone de Santé","kipushi","haut-katanga","","hk Haut Katanga","hk Kipushi"
"47","haut-katanga","kisanga","Haut Katanga",514,"Kisanga",NA,"hk Haut Katanga Province","hk Kisanga Zone de Santé","kisanga","haut-katanga","","hk Haut Katanga","hk Kisanga"
"48","haut-katanga","kowe","Katanga",494,"Kowe","Kowe","hk Haut Katanga Province","hk Kowe Zone de Santé","kowe","haut-katanga","","hk Haut Katanga","hk Kowe"
"49","haut-katanga","likasi","Katanga",352,"Likasi","Likasi","hk Haut Katanga Province","hk Likasi Zone de Santé","likasi","haut-katanga","","hk Haut Katanga","hk Likasi"
"50","haut-katanga","lubumbashi","Haut Katanga",510,"Lubumbashi",NA,"hk Haut Katanga Province","hk Lubumbashi Zone de Santé","lubumbashi","haut-katanga","","hk Haut Katanga","hk Lubumbashi"
"51","haut-katanga","lukafu","Katanga",343,"Lukafu","Lukafu","hk Haut Katanga Province","hk Lukafu Zone de Santé","lukafu","haut-katanga","","hk Haut Katanga","hk Lukafu"
"52","haut-katanga","mitwaba","Katanga",347,"Mitwaba","Mitwaba","hk Haut Katanga Province","hk Mitwaba Zone de Santé","mitwaba","haut-katanga","","hk Haut Katanga","hk Mitwaba"
"53","haut-katanga","mufunga-sampwe","Katanga",344,"Mufunga Sampwe","Mufunga-Sampwe","hk Haut Katanga Province","hk Mufunga Sampwe Zone de Santé","mufunga sampwe","haut-katanga","","hk Haut Katanga","hk Mufunga Sampwe"
"54","haut-katanga","mumbunda","Haut Katanga",509,"Mumbunda",NA,"hk Haut Katanga Province","hk Mumbunda Zone de Santé","mumbunda","haut-katanga","","hk Haut Katanga","hk Mumbunda"
"55","haut-katanga","panda","Katanga",353,"Panda","Panda","hk Haut Katanga Province","hk Panda Zone de Santé","panda","haut-katanga","","hk Haut Katanga","hk Panda"
"56","haut-katanga","pweto","Katanga",340,"Pweto","Pweto","hk Haut Katanga Province","hk Pweto Zone de Santé","pweto","haut-katanga","","hk Haut Katanga","hk Pweto"
"57","haut-katanga","ruashi","Haut Katanga",513,"Ruashi",NA,"hk Haut Katanga Province","hk Ruashi Zone de Santé","rwashi","haut-katanga","","hk Haut Katanga","hk Ruashi"
"58","haut-katanga","sakania","Katanga",482,"Sakania","Sakania","hk Haut Katanga Province","hk Sakania Zone de Santé","sakanya","haut-katanga","","hk Haut Katanga","hk Sakania"
"59","haut-katanga","tshamilemba","Haut Katanga",511,"Tshamilemba",NA,"hk Haut Katanga Province","hk Tshamilemba Zone de Santé","tshamilemba","haut-katanga","","hk Haut Katanga","hk Tshamilemba"
"60","haut-katanga","tshamilemba","Haut Katanga",515,"Tshamilemba",NA,"hk Haut Katanga Province","hk Tshamilemba Zone de Santé","tshamilemba","haut-katanga","","hk Haut Katanga","hk Tshamilemba"
"61","haut-katanga","vangu","Katanga",493,"Vangu","Vangu","hk Haut Katanga Province","hk Vangu Zone de Santé","vangu","haut-katanga","","hk Haut Katanga","hk Vangu"
"62","haut-lomami","bukama","Katanga",470,"Bukama","Bukama","hl Haut Lomami Province","hl Bukama Zone de Santé","bukama","haut-lomami","","hl Haut Lomami","hl Bukama"
"63","haut-lomami","butumba","Katanga",341,"Butumba","Butumba","hl Haut Lomami Province","hl Butumba Zone de Santé","butumba","haut-lomami","","hl Haut Lomami","hl Butumba"
"64","haut-lomami","kabondo-dianda","Katanga",471,"Kabondo Dianda","Kabondo-dianda","hl Haut Lomami Province","hl Kabondo Dianda Zone de Santé","kabond dianda","haut-lomami","","hl Haut Lomami","hl Kabondo Dianda"
"65","haut-lomami","kabongo","Katanga",472,"Kabongo","Kabongo","hl Haut Lomami Province","hl Kabongo Zone de Santé","kabongo","haut-lomami","","hl Haut Lomami","hl Kabongo"
"66","haut-lomami","kamina","Katanga",346,"Kamina","Kamina","hl Haut Lomami Province","hl Kamina Zone de Santé","kamina","haut-lomami","","hl Haut Lomami","hl Kamina"
"67","haut-lomami","kamina-base","Katanga",495,"Kamina Base","Baka","hl Haut Lomami Province","hl Baka Zone de Santé","baka","haut-lomami","","hl Haut Lomami","hl Baka"
"68","haut-lomami","kaniama","Katanga",337,"Kaniama","Kaniama","hl Haut Lomami Province","hl Kaniama Zone de Santé","kanyama","haut-lomami","","hl Haut Lomami","hl Kaniama"
"69","haut-lomami","kayamba","Katanga",474,"Kayamba","Kayamba","hl Haut Lomami Province","hl Kayamba Zone de Santé","kayamba","haut-lomami","","hl Haut Lomami","hl Kayamba"
"70","haut-lomami","kinda","Katanga",490,"Kinda","Kinda","hl Haut Lomami Province","hl Kinda Zone de Santé","kinda","haut-lomami","","hl Haut Lomami","hl Kinda"
"71","haut-lomami","kinkonja","Katanga",342,"Kinkonja","Kinkondja","hl Haut Lomami Province","hl Kinkondja Zone de Santé","kinkondja","haut-lomami","","hl Haut Lomami","hl Kinkondja"
