"","dps","health_zone","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","V11","dps_sv","hz_sv"
"72","haut-lomami","kitenge","Katanga",475,"Kitenge","Kitenge","hl Haut Lomami Province","hl Kitenge Zone de Santé","kitenge","haut-lomami","","hl Haut Lomami","hl Kitenge"
"73","haut-lomami","lwamba","Katanga",478,"Lwamba","Lwamba","hl Haut Lomami Province","hl Lwamba Zone de Santé","lwamba","haut-lomami","","hl Haut Lomami","hl Lwamba"
"74","haut-lomami","malemba-nkulu","Katanga",480,"Malemba Nkulu","Malemba-Nkulu","hl Haut Lomami Province","hl Malemba Nkulu Zone de Santé","malemba nkulu","haut-lomami","","hl Haut Lomami","hl Malemba Nkulu"
"75","haut-lomami","mukanga","Katanga",479,"Mukanga","Mukanga","hl Haut Lomami Province","hl Mukanga Zone de Santé","mukanga","haut-lomami","","hl Haut Lomami","hl Mukanga"
"76","haut-lomami","mulongo","Katanga",477,"Mulongo","Mulongo","hl Haut Lomami Province","hl Mulongo Zone de Santé","mulongo","haut-lomami","","hl Haut Lomami","hl Mulongo"
"77","haut-lomami","songa","Katanga",473,"Songa","Songa","hl Haut Lomami Province","hl Songa Zone de Santé","songa","haut-lomami","","hl Haut Lomami","hl Songa"
"78","haut-uele","aba","Province Oriental",442,"Aba","Aba","hu Haut Uele Province","hu Aba Zone de Santé","aba","haut-uele","","hu Haut Uele","hu Aba"
"79","haut-uele","boma-mangbetu",NA,NA,NA,NA,"hu Haut Uele Province","hu Boma Mangbetu Zone de Santé","boma mangbetu","haut-uele","","hu Haut Uele","hu Boma Mangbetu"
"80","haut-uele","doruma","Province Oriental",439,"Doruma","Doruma","hu Haut Uele Province","hu Doruma Zone de Santé","doruma","haut-uele","","hu Haut Uele","hu Doruma"
"81","haut-uele","dungu","Province Oriental",440,"Dungu","Dungu","hu Haut Uele Province","hu Dungu Zone de Santé","dungu","haut-uele","","hu Haut Uele","hu Dungu"
"82","haut-uele","faradje","Province Oriental",441,"Faradje","Faradje","hu Haut Uele Province","hu Faradje Zone de Santé","faradje","haut-uele","","hu Haut Uele","hu Faradje"
"83","haut-uele","gombari","Province Oriental",224,"Gombari","Gombari","hu Haut Uele Province","hu Gombari Zone de Santé","gombari","haut-uele","","hu Haut Uele","hu Gombari"
"84","haut-uele","isiro","Province Oriental",212,"Isiro","Isiro","hu Haut Uele Province","hu Isiro Zone de Santé","isiro","haut-uele","","hu Haut Uele","hu Isiro"
"85","haut-uele","makoro","Province Oriental",443,"Makoro","Makoro","hu Haut Uele Province","hu Makoro Zone de Santé","makoro","haut-uele","","hu Haut Uele","hu Makoro"
"86","haut-uele","niangara","Province Oriental",188,"Niangara","Niangara","hu Haut Uele Province","hu Niangara Zone de Santé","niangara","haut-uele","","hu Haut Uele","hu Niangara"
"87","haut-uele","pawa","Province Oriental",167,"Pawa","Pawa","hu Haut Uele Province","hu Pawa Zone de Santé","pawa","haut-uele","","hu Haut Uele","hu Pawa"
"88","haut-uele","rungu","Province Oriental",189,"Rungu","Rungu","hu Haut Uele Province","hu Rungu Zone de Santé","rungu","haut-uele","","hu Haut Uele","hu Rungu"
"89","haut-uele","wamba","Province Oriental",227,"Wamba","Wamba","hu Haut Uele Province","hu Wamba Zone de Santé","wamba","haut-uele","","hu Haut Uele","hu Wamba"
"90","haut-uele","watsa","Province Oriental",282,"Watsa","Watsa","hu Haut Uele Province","hu Watsa Zone de Santé","watsa","haut-uele","","hu Haut Uele","hu Watsa"
"91","ituri","adi","Province Oriental",445,"Adi","Adi","it Ituri Province","it Adi Zone de Santé","adi","ituri","","it Ituri","it Adi"
"92","ituri","adia","Province Oriental",221,"Adia","Adja","it Ituri Province","it Adja Zone de Santé","adja","ituri","","it Ituri","it Adja"
"93","ituri","angumu","Province Oriental",279,"Angumu","Angumu","it Ituri Province","it Angumu Zone de Santé","angumu","ituri","","it Ituri","it Angumu"
"94","ituri","ariwara","Province Oriental",219,"Ariwara","Ariwara","it Ituri Province","it Ariwara Zone de Santé","ariwara","ituri","","it Ituri","it Ariwara"
"95","ituri","aru","Province Oriental",220,"Aru","Aru","it Ituri Province","it Aru Zone de Santé","aru","ituri","","it Ituri","it Aru"
"96","ituri","aungba","Province Oriental",223,"Aungba","Aungba","it Ituri Province","it Aungba Zone de Santé","aungba","ituri","","it Ituri","it Aungba"
"97","ituri","bambu","Province Oriental",182,"Bambu","Bambu-Mines","it Ituri Province","it Bambu Zone de Santé","bambu","0","","it Ituri","it Bambu"
"98","ituri","bambu","Province Oriental",182,"Bambu","Bambu-Mines","it Ituri Province","it Bambu Zone de Santé","bambu","ituri","","it Ituri","it Bambu"
"99","ituri","biringi","Province Oriental",222,"Biringi","Biringi","it Ituri Province","it Biringi Zone de Santé","biringi","ituri","","it Ituri","it Biringi"
"100","ituri","boga","Province Oriental",186,"Boga","Boga","it Ituri Province","it Boga Zone de Santé","boga","ituri","","it Ituri","it Boga"
"101","ituri","bunia","Province Oriental",172,"Bunia","Bunia","it Ituri Province","it Bunia Zone de Santé","bunia","ituri","","it Ituri","it Bunia"
"102","ituri","damasi","Province Oriental",179,"Damasi","Damas","it Ituri Province","it Damas Zone de Santé","damas","ituri","","it Ituri","it Damas"
"103","ituri","drodro","Province Oriental",175,"Drodro","Drodro","it Ituri Province","it Drodro Zone de Santé","drodro","ituri","","it Ituri","it Drodro"
"104","ituri","fataki","Province Oriental",184,"Fataki","Fataki","it Ituri Province","it Fataki Zone de Santé","fataki","ituri","","it Ituri","it Fataki"
"105","ituri","gethy","Province Oriental",187,"Gethy","Ghety","it Ituri Province","it Gety Zone de Santé","gethy","ituri","","it Ituri","it Gety"
"106","ituri","jiba","Province Oriental",176,"Jiba","Jiba","it Ituri Province","it Jiba Zone de Santé","jiba","ituri","","it Ituri","it Jiba"
"107","ituri","kambala","Province Oriental",278,"Kambala","Komanda","it Ituri Province","it Kambala Zone de Santé","kambala","ituri","","it Ituri","it Kambala"
"108","ituri","kilo","Province Oriental",229,"Kilo","Kilo","it Ituri Province","it Kilo Zone de Santé","kilo","ituri","","it Ituri","it Kilo"
"109","ituri","komanda","Province Oriental",170,"Komanda","Kambala","it Ituri Province","it Komanda Zone de Santé","komanda","ituri","","it Ituri","it Komanda"
"110","ituri","laybo","Province Oriental",444,"Laybo","Laybo","it Ituri Province","it Laybo Zone de Santé","laybo","ituri","","it Ituri","it Laybo"
"111","ituri","linga","Province Oriental",178,"Linga","Linga","it Ituri Province","it Linga Zone de Santé","linga","ituri","","it Ituri","it Linga"
"112","ituri","lita","Province Oriental",174,"Lita","Lita","it Ituri Province","it Lita Zone de Santé","lita","ituri","","it Ituri","it Lita"
"113","ituri","logo","Province Oriental",281,"Logo","Logo","it Ituri Province","it Logo Zone de Santé","logo","ituri","","it Ituri","it Logo"
"114","ituri","lolwa","Province Oriental",169,"Lolwa","Lolwa","it Ituri Province","it Lolwa Zone de Santé","lolwa","ituri","","it Ituri","it Lolwa"
"115","ituri","mahagi","Province Oriental",177,"Mahagi","Mahagi","it Ituri Province","it Mahagi Zone de Santé","mahagi","ituri","","it Ituri","it Mahagi"
"116","ituri","mambasa","Province Oriental",226,"Mambasa","Mambasa","it Ituri Province","it Mambasa Zone de Santé","mambasa","ituri","","it Ituri","it Mambasa"
"117","ituri","mandima","Province Oriental",168,"Mandima","Mandima","it Ituri Province","it Mandima Zone de Santé","mandima","ituri","","it Ituri","it Mandima"
"118","ituri","mangala","Province Oriental",183,"Mangala","Mangala","it Ituri Province","it Mangala Zone de Santé","mangala","ituri","","it Ituri","it Mangala"
"119","ituri","mongbwalu","Province Oriental",228,"Mongbwalu","Mongbwalu","it Ituri Province","it Mongbwalu Zone de Santé","mongbwalu","ituri","","it Ituri","it Mongbwalu"
"120","ituri","niania","Province Oriental",211,"Niania","Nia-Nia","it Ituri Province","it Nia Nia Zone de Santé","nia nia","ituri","","it Ituri","it Nia Nia"
"121","ituri","nizi","Province Oriental",173,"Nizi","Nizi","it Ituri Province","it Nizi Zone de Santé","nizi","ituri","","it Ituri","it Nizi"
"122","ituri","nyakunde","Province Oriental",180,"Nyakunde","Nyankunde","it Ituri Province","it Nyankunde Zone de Santé","nyakunde","ituri","","it Ituri","it Nyankunde"
"123","ituri","nyarambe","Province Oriental",280,"Nyarambe","Nyarambe","it Ituri Province","it Nyarambe Zone de Santé","nyarambe","ituri","","it Ituri","it Nyarambe"
"124","ituri","rethy","Province Oriental",277,"Rethy","Rethy","it Ituri Province","it Rethy Zone de Santé","rethy","ituri","","it Ituri","it Rethy"
"125","ituri","rimba","Province Oriental",181,"Rimba","Rimba","it Ituri Province","it Rimba Zone de Santé","rimba","ituri","","it Ituri","it Rimba"
"126","ituri","rwampara","Province Oriental",171,"Rwampara","Rwampara","it Ituri Province","it Rwampara Zone de Santé","rwampara","ituri","","it Ituri","it Rwampara"
"127","ituri","tchomia","Province Oriental",185,"Tchomia","Tchomia","it Ituri Province","it Tchomia Zone de Santé","tshomia","ituri","","it Ituri","it Tchomia"
"128","kasai","banga-lubaka","Kasai Occidental",21,"Banga Lubaka","Banga Lubaka","ks Kasai Province","ks Banga Lubaka Zone de Santé","banga lubaka","kasai","","ks Kasai","ks Banga Lubaka"
"129","kasai","bulape","Kasai Occidental",30,"Bulape","Bulape","ks Kasai Province","ks Bulape Zone de Santé","bulape","kasai","","ks Kasai","ks Bulape"
"130","kasai","dekese","Kasai Occidental",459,"Dekese","Dekese","ks Kasai Province","ks Dekese Zone de Santé","dekese","kasai","","ks Kasai","ks Dekese"
"131","kasai","ilebo","Kasai Occidental",37,"Ilebo","Ilebo","ks Kasai Province","ks Ilebo Zone de Santé","ilebo","kasai","","ks Kasai","ks Ilebo"
"132","kasai","kakenge","Kasai Occidental",31,"Kakenge","Kakenge","ks Kasai Province","ks Kakenge Zone de Santé","kakenge","kasai","","ks Kasai","ks Kakenge"
"133","kasai","kalonda","Kasai Occidental",8,"Kalonda","Kalonda","ks Kasai Province","ks Kalonda Ouest Zone de Santé","kalonda ouest","kasai","","ks Kasai","ks Kalonda Ouest"
"134","kasai","kamonya","Kasai Occidental",9,"Kamonya","Kamonia","ks Kasai Province","ks Kamonia Zone de Santé","kamonia","kasai","","ks Kasai","ks Kamonia"
"135","kasai","kamwesha","Kasai Occidental",22,"Kamwesha","Kamuesha","ks Kasai Province","ks Kamwesha Zone de Santé","kamwesha","kasai","","ks Kasai","ks Kamwesha"
"136","kasai","kanzala","Kasai Occidental",284,"Kanzala","Kanzala","ks Kasai Province","ks Kanzala Zone de Santé","kanzala","kasai","","ks Kasai","ks Kanzala"
"137","kasai","kitangwa","Kasai Occidental",462,"Kitangwa","Kitangwa","ks Kasai Province","ks Kitangwa Zone de Santé","kitangua","kasai","","ks Kasai","ks Kitangwa"
"138","kasai","luebo","Kasai Occidental",24,"Luebo","Luebo","ks Kasai Province","ks Luebo Zone de Santé","luebo","kasai","","ks Kasai","ks Luebo"
"139","kasai","mikope","Kasai Occidental",136,"Mikope","Mikope","ks Kasai Province","ks Mikope Zone de Santé","mikope","kasai","","ks Kasai","ks Mikope"
"140","kasai","mushenge","Kasai Occidental",38,"Mushenge","Mushenge","ks Kasai Province","ks Mushenge Zone de Santé","mushenge","kasai","","ks Kasai","ks Mushenge"
"141","kasai","mutenna","Kasai Occidental",13,"Mutenna","Mutena","ks Kasai Province","ks Mutena Zone de Santé","mutena","kasai","","ks Kasai","ks Mutena"
"142","kasai","mweka","Kasai Occidental",29,"Mweka","Mweka","ks Kasai Province","ks Mweka Zone de Santé","mweka","kasai","","ks Kasai","ks Mweka"
"143","kasai","ndjoko-punda","Kasai Occidental",23,"Ndjoko Punda","Ndjoku Punda","ks Kasai Province","ks Ndjoko Mpunda Zone de Santé","ndjoko mpunda","kasai","","ks Kasai","ks Ndjoko Mpunda"
"144","kasai","nyanga","Kasai Occidental",7,"Nyanga","Nyanga","ks Kasai Province","ks Nyanga Zone de Santé","nyanga","kasai","","ks Kasai","ks Nyanga"
"145","kasai","tshikapa","Kasai Occidental",285,"Tshikapa","Tshikapa","ks Kasai Province","ks Tshikapa Zone de Santé","tshikapa","kasai","","ks Kasai","ks Tshikapa"
"146","kasai-central","bena-leke","Kasai Occidental",28,"Bena Leke","Bena-leka","kr Kasai Central Province","kr Bena Leka Zone de Santé","bena leka","kasai central","","kr Kasai Central","kr Bena Leka"
"147","kasai-central","bena-tshadi",NA,NA,NA,NA,"kr Kasai Central Province","kr Bena Tshadi Zone de Santé","benatshiadi","kasai central","","kr Kasai Central","kr Bena Tshadi"
"148","kasai-central","bilonda","Kasai Occidental",17,"Bilonda","Bilomba","kr Kasai Central Province","kr Bilomba Zone de Santé","bilomba","kasai central","","kr Kasai Central","kr Bilomba"
"149","kasai-central","bobozo","Kasai Occidental",330,"Bobozo","Bobozo","kr Kasai Central Province","kr Bobozo Zone de Santé","bobozo","kasai central","","kr Kasai Central","kr Bobozo"
"150","kasai-central","bukonde","Kasai Occidental",18,"Bukonde","Bukonde","kr Kasai Central Province","kr Bunkonde Zone de Santé","bunkonde","kasai central","","kr Kasai Central","kr Bunkonde"
"151","kasai-central","demba","Kasai Occidental",27,"Demba","Demba","kr Kasai Central Province","kr Demba Zone de Santé","demba","kasai central","","kr Kasai Central","kr Demba"
"152","kasai-central","dibaya","Kasai Occidental",34,"Dibaya","Dibaya","kr Kasai Central Province","kr Dibaya Zone de Santé","dibaya","kasai central","","kr Kasai Central","kr Dibaya"
"153","kasai-central","kalomda","Kasai Occidental",6,"Kalomda","Kalomda","kr Kasai Central Province","kr Kalomba Zone de Santé","kalomba","kasai central","","kr Kasai Central","kr Kalomba"
"154","kasai-central","kananga","Kasai Occidental",288,"Kananga","Kananga","kr Kasai Central Province","kr Kananga Zone de Santé","kananga","kasai central","","kr Kasai Central","kr Kananga"
"155","kasai-central","katende","Kasai Occidental",32,"Katende","Katende","kr Kasai Central Province","kr Katende Zone de Santé","katende","kasai central","","kr Kasai Central","kr Katende"
"156","kasai-central","katoka","Kasai Occidental",286,"Katoka","Katoka","kr Kasai Central Province","kr Katoka Zone de Santé","katoka","kasai central","","kr Kasai Central","kr Katoka"
"157","kasai-central","luambo","Kasai Occidental",12,"Luambo","Luambo","kr Kasai Central Province","kr Luambo Zone de Santé","luambo","kasai central","","kr Kasai Central","kr Luambo"
"158","kasai-central","lubondaie","Kasai Occidental",33,"Lubondaie","Lubondayi","kr Kasai Central Province","kr Lubondaie Zone de Santé","lubondaie","kasai central","","kr Kasai Central","kr Lubondaie"
"159","kasai-central","lubunga","Kasai Occidental",35,"Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","","kr Kasai Central","kr Lubunga"
"160","kasai-central","lubunga","Province Oriental",332,"Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","","kr Kasai Central","kr Lubunga"
"161","kasai-central","luiza","Kasai Occidental",16,"Luiza","Luiza","kr Kasai Central Province","kr Luiza Zone de Santé","luiza","kasai central","","kr Kasai Central","kr Luiza"
