"","health_zone","dps","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","hz_snis_cleaned","hz_pnlt"
"1","aba","haut-uele","Province Oriental","442","Aba","Aba","hu Haut Uele Province","hu Aba Zone de Santé","aba","haut-uele","aba","aba"
"2","abuzi","nord-ubangi","Equateur","391","Abuzi","Abuzi","nu Nord Ubangi Province","nu Abuzi Zone de Santé","abuzi","nord ubangi","abuzi","abuzi"
"3","adi","ituri","Province Oriental","445","Adi","Adi","it Ituri Province","it Adi Zone de Santé","adi","ituri","adi","adi"
"4","adia","ituri","Province Oriental","221","Adia","Adja","it Ituri Province","it Adja Zone de Santé","adja","ituri","adja","adja"
"5","aketi","bas-uele","Province Oriental","388","Aketi","Aketi","bu Bas Uele Province","bu Aketi Zone de Santé","aketi","bas-uele","aketi","aketi"
"6","alimbongo","nord-kivu","Nord Kivu","64","Alimbongo","NA","nk Nord Kivu Province","nk Alimbongo Zone de Santé","alimbongo","nord kivu","alimbongo",NA
"7","alunguli","maniema","Maniema","327","Alunguli","Alunguli","mn Maniema Province","mn Alunguli Zone de Santé","alunguli","maniema","alunguli","alunguli"
"8","ango","bas-uele","Province Oriental","438","Ango","Ango","bu Bas Uele Province","bu Ango Zone de Santé","ango","bas-uele","ango","ango"
"9","angumu","ituri","Province Oriental","279","Angumu","Angumu","it Ituri Province","it Angumu Zone de Santé","angumu","ituri","angumu","angumu"
"10","ankoro","tanganyika","Katanga","476","Ankoro","Ankoro","tn Tanganyika Province","tn Ankoro Zone de Santé","ankoro","tanganyika","ankoro","ankoro"
"11","ariwara","ituri","Province Oriental","219","Ariwara","Ariwara","it Ituri Province","it Ariwara Zone de Santé","ariwara","ituri","ariwara","ariwara"
"12","aru","ituri","Province Oriental","220","Aru","Aru","it Ituri Province","it Aru Zone de Santé","aru","ituri","aru","aru"
"13","aungba","ituri","Province Oriental","223","Aungba","Aungba","it Ituri Province","it Aungba Zone de Santé","aungba","ituri","aungba","aungba"
"14","bafale","tshuapa","Equateur","4","Bafale","Befale","tu Tshuapa Province","tu Befale Zone de Santé","befale","tshuapa","befale","befale"
"15","bafwabogbo","tshopo","Province Oriental","215","Bafwabogbo","Bafwagbogbo","tp Tshopo Province","tp Bafwagbogbo Zone de Santé","bafwagbogbo","tshopo","bafwagbogbo","bafwagbogbo"
"16","bafwasende","tshopo","Province Oriental","214","Bafwasende","Bafwasende","tp Tshopo Province","tp Bafwasende Zone de Santé","bafwasende","tshopo","bafwasende","bafwasende"
"17","bagata","kwilu","Bandundu","148","Bagata","Bagata","kl Kwilu Province","kl Bagata Zone de Santé","bagata","kwilu","bagata","bagata"
"18","bagira-kasha","sud-kivu","Sud Kivu","234","Bagira Kasha","Bagira-Kasha","sk Sud Kivu Province","sk Bagira Zone de Santé","bagira","sud kivu","bagira",NA
"19","bambo","nord-kivu","Nord Kivu","107","Bambo","NA","nk Nord Kivu Province","nk Bambo Zone de Santé","bambo","nord kivu","bambo",NA
"20","bambu","0","Province Oriental","182","Bambu","Bambu-Mines","NA","NA","bambu","0",NA,"bambu"
"21","bambu","ituri","Province Oriental","182","Bambu","Bambu-Mines","it Ituri Province","it Bambu Zone de Santé","bambu","ituri","bambu","bambu"
"22","banalia","tshopo","Province Oriental","213","Banalia","Banalia","tp Tshopo Province","tp Banalia Zone de Santé","banalia","tshopo","banalia","banalia"
"23","bandalungwa","kinshasa","Kinshasa","261","Bandalungwa","Bandalungwa","kn Kinshasa Province","kn Bandalungwa Zone de Santé","bandal","kinshasa","bandalungwa",NA
"24","bandjau","mai-ndombe","Bandundu","166","Bandjau","Banjow Moke","md Maindombe Province","md Banzow Moke Zone de Santé","bandjow","mai-ndombe","banzow-moke","banzow"
"25","bandundu","kwilu","Bandundu","149","Bandundu","Bandundu","kl Kwilu Province","kl Bandundu Zone de Santé","bandundu","kwilu","bandundu","bandundu"
"26","banga-lubaka","kasai","Kasai Occidental","21","Banga Lubaka","Banga Lubaka","ks Kasai Province","ks Banga Lubaka Zone de Santé","banga lubaka","kasai","banga-lubaka","banga-lubaka"
"27","bangabola","sud-ubangi","Equateur","309","Bangabola","Bangabola","su Sud Ubangi Province","su Bangabola Zone de Santé","bangabola","sud ubangi","bangabola","bangabola"
