"disease","recipient","loc_id","start_date","data_source","program_activity","country","year","grant_number","period","source","budget","expenditure","disbursement"
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",461649.57,0,0
"hiv","SR","Guatemala","2019-01-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",577993.847949717,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",44968.72,0,0
"hiv","SR","Guatemala","2019-04-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",488450.121380565,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2019-07-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",485173.561380565,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2019-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2019,"FR100-GTM-H",90,"gf",485173.561380565,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",470476.9,0,0
"hiv","SR","Guatemala","2020-01-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",585408.778481801,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",17006.8,0,0
"hiv","SR","Guatemala","2020-04-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",493699.345520329,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2020-07-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",490422.785520329,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2020-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2020,"FR100-GTM-H",90,"gf",490429.505520329,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","Monitoring and evaluation","Guatemala",2018,"FR100-GTM-H",90,"gf",9000,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","Monitoring and evaluation","Guatemala",2019,"FR100-GTM-H",90,"gf",17195.6,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","Monitoring and evaluation","Guatemala",2019,"FR100-GTM-H",90,"gf",84695.6,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","Monitoring and evaluation","Guatemala",2019,"FR100-GTM-H",90,"gf",17195.6,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","Monitoring and evaluation","Guatemala",2019,"FR100-GTM-H",90,"gf",12695.6,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","Monitoring and evaluation","Guatemala",2020,"FR100-GTM-H",90,"gf",17195.6,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","Monitoring and evaluation","Guatemala",2020,"FR100-GTM-H",90,"gf",17195.6,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","Monitoring and evaluation","Guatemala",2020,"FR100-GTM-H",90,"gf",17195.6,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","Monitoring and evaluation","Guatemala",2020,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","Other/Unidentified","Guatemala",2018,"FR100-GTM-H",90,"gf",228161.345089218,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",565988.961871112,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",199567.711871111,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",457888.961871111,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",466668.961871111,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",199567.711871111,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",457888.961871111,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",199567.711871111,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",174633.6,0,0
"hiv","SR","Guatemala","2018-10-01","init2_fpm","Other/Unidentified","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2019-01-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2019-04-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2019-07-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2019-10-01","init2_fpm","Other/Unidentified","Guatemala",2019,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2020-01-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2020-04-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2020-07-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","SR","Guatemala","2020-10-01","init2_fpm","Other/Unidentified","Guatemala",2020,"FR100-GTM-H",90,"gf",24539.58,0,0
"hiv","Sub-Rec","uga","2016-01-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",7920,0,0
"hiv","TASO","uga","2016-01-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",12320,0,0
"hiv","Sub-Rec","uga","2016-04-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",45003.2,0,0
"hiv","TASO","uga","2016-04-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",12320,0,0
"hiv","Sub-Rec","uga","2016-07-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",7920,0,0
"hiv","TASO","uga","2016-07-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",0,0,0
"hiv","Sub-Rec","uga","2016-10-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",45003.2,0,0
"hiv","TASO","uga","2016-10-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-C-TASO",90,"gf",12320,0,0
"hiv","Sub-Rec","uga","2017-01-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",7920,0,0
"hiv","TASO","uga","2017-01-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",12320,0,0
"hiv","Sub-Rec","uga","2017-04-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",45003.2,0,0
"hiv","TASO","uga","2017-04-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",0,0,0
"hiv","Sub-Rec","uga","2017-07-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",45003.2,0,0
"hiv","TASO","uga","2017-07-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",12320,0,0
"hiv","Sub-Rec","uga","2017-10-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",45003.2,0,0
"hiv","TASO","uga","2017-10-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-C-TASO",90,"gf",0,0,0
"hiv","MoFPED","uga","2016-01-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2016-04-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2016-07-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-H-MoFPED",90,"gf",4298336.429945,0,0
"hiv","MoFPED","uga","2016-10-01","fpm","HIV/AIDS care and support","Uganda",2016,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2017-01-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2017-04-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2017-07-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","MoFPED","uga","2017-10-01","fpm","HIV/AIDS care and support","Uganda",2017,"UGA-H-MoFPED",90,"gf",0,0,0
"hiv","CORDAID","cod","2017-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",6964972.4315599,0,0
"hiv","SRs","cod","2017-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",4920.6892653,0,0
"hiv","CORDAID","cod","2017-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",321765.9040099,0,0
"hiv","SRs","cod","2017-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",4920.6892653,0,0
"hiv","CORDAID","cod","2017-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",299979.6377599,0,0
"hiv","SRs","cod","2017-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",4920.6892653,0,0
"hiv","CORDAID","cod","2017-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",299979.6377599,0,0
"hiv","SRs","cod","2017-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-CORDAID-810",90,"gf",4920.6892653,0,0
"hiv","SANRU","cod","2015-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",0,0,0
"hiv","SR","cod","2015-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",0,0,0
"hiv","SANRU","cod","2015-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",0,0,0
"hiv","SR","cod","2015-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",0,0,0
"hiv","SANRU","cod","2015-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",78151.1433,0,0
"hiv","SR","cod","2015-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",10895.2145419,0,0
"hiv","SANRU","cod","2015-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",4760816.35389,0,0
"hiv","SR","cod","2015-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-SANRU",90,"gf",10895.2145419,0,0
"hiv","SANRU","cod","2016-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",7735296.1692,0,0
"hiv","SR","cod","2016-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",84183.186224,0,0
"hiv","SANRU","cod","2016-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2016-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",84183.186224,0,0
"hiv","SANRU","cod","2016-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2016-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",84183.186224,0,0
"hiv","SANRU","cod","2016-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2016-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-SANRU",90,"gf",84183.186224,0,0
"hiv","SANRU","cod","2017-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2017-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",82442.488194,0,0
"hiv","SANRU","cod","2017-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2017-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",82442.488194,0,0
"hiv","SANRU","cod","2017-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2017-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",82442.488194,0,0
"hiv","SANRU","cod","2017-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",539191.14156,0,0
"hiv","SR","cod","2017-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-SANRU",90,"gf",82442.488194,0,0
"hiv",NA,"cod","2015-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-MOH-806",90,"gf",112807,0,0
"hiv",NA,"cod","2015-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2016-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2016-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2016-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2016-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2017-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2017-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-MOH-806",90,"gf",0,0,0
"hiv",NA,"cod","2017-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2017,"COD-H-MOH-806",90,"gf",0,0,0
"hiv","MoH","gtm","2017-01-01","fpm","HIV/AIDS care and support","Guatemala",2017,"GUA-311-G06-H",90,"gf",83909.21421574,0,0
"hiv","MoH","gtm","2017-04-01","fpm","HIV/AIDS care and support","Guatemala",2017,"GUA-311-G06-H",90,"gf",769578.0333,0,0
"hiv","MoH","gtm","2017-07-01","fpm","HIV/AIDS care and support","Guatemala",2017,"GUA-311-G06-H",90,"gf",0,0,0
"hiv","MoH","gtm","2017-10-01","fpm","HIV/AIDS care and support","Guatemala",2017,"GUA-311-G06-H",90,"gf",0,0,0
"hiv","CORDAID","cod","2015-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",6326112.191353,0,0
"hiv","SRs","cod","2015-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",7019.3196044,0,0
"hiv","CORDAID","cod","2015-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",223687.425253,0,0
"hiv","SRs","cod","2015-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",6402.2036174,0,0
"hiv","CORDAID","cod","2016-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",309037.476887,0,0
"hiv","SRs","cod","2016-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",4704.8856493,0,0
"hiv","CORDAID","cod","2016-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",272033.720277,0,0
"hiv","SRs","cod","2016-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",4578.055085,0,0
"hiv","CORDAID","cod","2016-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",272033.720277,0,0
"hiv","SRs","cod","2016-10-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2016,"COD-H-CORDAID-810",90,"gf",4578.055085,0,0
"hiv","CORDAID","cod","2015-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",0,0,0
"hiv","SRs","cod","2015-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",0,0,0
"hiv","CORDAID","cod","2015-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",0,0,0
"hiv","SRs","cod","2015-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2015,"COD-H-CORDAID-810",90,"gf",0,0,0
"hiv","SR Societé Civile","VIH","2018-01-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2018,"COD-C-CORDAID",90,"gf",17342.08333,0,0
"hiv","SR Societé Civile","VIH","2018-04-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2018,"COD-C-CORDAID",90,"gf",17342.08333,0,0
"hiv","SR Societé Civile","VIH","2018-07-01","fpm","HIV/AIDS care and support","Congo (Democratic Republic)",2018,"COD-C-CORDAID",90,"gf",17342.08333,0,0
