"disease","recipient","loc_id","start_date","data_source","program_activity","country","year","grant_number","period","source","budget","expenditure","disbursement"
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2019,"FR100-GTM-H",90,"gf",343454.03,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2020,"FR100-GTM-H",90,"gf",357545.58,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","HIV/AIDS counseling and testing","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","Treatment","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","Treatment","Guatemala",2019,"FR100-GTM-H",90,"gf",184893.821390215,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","Treatment","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","Treatment","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","Treatment","Guatemala",2019,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","Treatment","Guatemala",2020,"FR100-GTM-H",90,"gf",658017,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","Treatment","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","Treatment","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","Treatment","Guatemala",2020,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2018-10-01","init2_fpm","RSSH: health workforce","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2019-01-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2019-04-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2019-07-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2019-10-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2020-01-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2020-04-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2020-07-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","SR","Guatemala","2020-10-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",33404.22,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","RSSH: health workforce","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",19732.6,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",39567.25,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",219997.54,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","RSSH: health workforce","Guatemala",2019,"FR100-GTM-H",90,"gf",14567.25,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",14567.25,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",9732.6,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",9732.6,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","RSSH: health workforce","Guatemala",2020,"FR100-GTM-H",90,"gf",14567.25,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","RSSH: information system","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","RSSH: information system","Guatemala",2019,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","RSSH: information system","Guatemala",2019,"FR100-GTM-H",90,"gf",71195.6,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","RSSH: information system","Guatemala",2019,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","RSSH: information system","Guatemala",2019,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","RSSH: information system","Guatemala",2020,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","RSSH: information system","Guatemala",2020,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","RSSH: information system","Guatemala",2020,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","RSSH: information system","Guatemala",2020,"FR100-GTM-H",90,"gf",3695.6,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","RSSH: other","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","INCAP","Guatemala","2019-01-01","init2_fpm","RSSH: other","Guatemala",2019,"FR100-GTM-H",90,"gf",58699.71,0,0
"hiv","INCAP","Guatemala","2019-04-01","init2_fpm","RSSH: other","Guatemala",2019,"FR100-GTM-H",90,"gf",89699.71,0,0
"hiv","INCAP","Guatemala","2019-07-01","init2_fpm","RSSH: other","Guatemala",2019,"FR100-GTM-H",90,"gf",327153.59,0,0
"hiv","INCAP","Guatemala","2019-10-01","init2_fpm","RSSH: other","Guatemala",2019,"FR100-GTM-H",90,"gf",58699.71,0,0
"hiv","INCAP","Guatemala","2020-01-01","init2_fpm","RSSH: other","Guatemala",2020,"FR100-GTM-H",90,"gf",58699.71,0,0
"hiv","INCAP","Guatemala","2020-04-01","init2_fpm","RSSH: other","Guatemala",2020,"FR100-GTM-H",90,"gf",58699.71,0,0
"hiv","INCAP","Guatemala","2020-07-01","init2_fpm","RSSH: other","Guatemala",2020,"FR100-GTM-H",90,"gf",416576.03,0,0
"hiv","INCAP","Guatemala","2020-10-01","init2_fpm","RSSH: other","Guatemala",2020,"FR100-GTM-H",90,"gf",58699.71,0,0
"hiv","INCAP","Guatemala","2018-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
"hiv","SR","Guatemala","2018-10-01","init2_fpm","Key and vulnerable populations","Guatemala",2018,"FR100-GTM-H",90,"gf",0,0,0
