"","Region","Department","Arrondissement","Commune"
"1","Dakar","Dakar","Almadies","Mermoz/ Sacre -Coeur"
"2","Dakar","Dakar","Almadies","Ngor"
"3","Dakar","Dakar","Almadies","Ouakam"
"4","Dakar","Dakar","Almadies","Yoff"
"5","Dakar","Dakar","Dakar Plateau","Fann/Point E/ Amitie"
"6","Dakar","Dakar","Dakar Plateau","Goree"
"7","Dakar","Dakar","Dakar Plateau","Gueule Tapee/Colobane/Fass"
"8","Dakar","Dakar","Dakar Plateau","Îles des Madeleines"
"9","Dakar","Dakar","Dakar Plateau","Medina"
"10","Dakar","Dakar","Dakar Plateau","Plateau"
"11","Dakar","Dakar","Grand Dakar","Biscuiterie"
"12","Dakar","Dakar","Grand Dakar","Dieuppeul Derkle"
"13","Dakar","Dakar","Grand Dakar","Grand Dakar"
"14","Dakar","Dakar","Grand Dakar","Hann/ Bel Air"
"15","Dakar","Dakar","Grand Dakar","Hlm"
"16","Dakar","Dakar","Grand Dakar","Sicap Liberte"
"17","Dakar","Dakar","Parcelles Assainies","Camberene"
"18","Dakar","Dakar","Parcelles Assainies","Grand Yoff"
"19","Dakar","Dakar","Parcelles Assainies","Parcelles Assainies"
"20","Dakar","Dakar","Parcelles Assainies","Patte D'Oie"
"21","Dakar","Guédiawaye","Guediawaye","Golf Sud"
"22","Dakar","Guédiawaye","Guediawaye","Medina Gounass"
"23","Dakar","Guédiawaye","Guediawaye","Ndiareme Limamoulaye"
"24","Dakar","Guédiawaye","Guediawaye","Sam  Notaire"
"25","Dakar","Guédiawaye","Guediawaye","Wakhinane Nimzatt"
"26","Dakar","Pikine","Niayes","Keur Massar"
"27","Dakar","Pikine","Niayes","Malika"
"28","Dakar","Pikine","Niayes","Yeumbeul Nord"
"29","Dakar","Pikine","Niayes","Yeumbeul Sud"
"30","Dakar","Pikine","Pikine Dagoudane","Daliford"
"31","Dakar","Pikine","Pikine Dagoudane","Djidah Thiaroye Kao"
"32","Dakar","Pikine","Pikine Dagoudane","Guinaw Rail Nord"
"33","Dakar","Pikine","Pikine Dagoudane","Guinaw Rail Sud"
"34","Dakar","Pikine","Pikine Dagoudane","Pikine Est"
"35","Dakar","Pikine","Pikine Dagoudane","Pikine Ouest"
"36","Dakar","Pikine","Pikine Dagoudane","Pikine Sud"
