NAME_1,NAME_2,NAME_3
Dakar,Dakar,Almadies
Dakar,Dakar,Dakar Plateau
Dakar,Dakar,Grand Dakar
Dakar,Dakar,Parcelles Assainies
Dakar,Guédiawaye,Guediawaye
Dakar,Pikine,Niayes
Dakar,Pikine,Pikine Dagoudane
Dakar,Pikine,Thiaroye
Dakar,Rufisque,Bambilor
Dakar,Rufisque,Rufisque
Diourbel,Bambey,Baba Garage
Diourbel,Bambey,Lambaye
Diourbel,Bambey,Ngoye
Diourbel,Diourbel,Ndindy
Diourbel,Diourbel,Ndoulo
Diourbel,Mbacké,Kael
Diourbel,Mbacké,Ndame
Diourbel,Mbacké,Taif
Fatick,Fatick,Fimela
Fatick,Fatick,Ndiob
Fatick,Fatick,Niakhar
Fatick,Fatick,Tattaguine
Fatick,Foundiougne,Djilor
Fatick,Foundiougne,Niodior
Fatick,Foundiougne,Toubacouta
Fatick,Gossas,Colobane
Fatick,Gossas,Ouadiour
Kaffrine,Birkilane,Keur Mboucki
Kaffrine,Birkilane,Mabo
Kaffrine,Kaffrine,Gniby
Kaffrine,Kaffrine,Katakel
Kaffrine,Koungheul,Ida Mouride
Kaffrine,Koungheul,Lour Escale
Kaffrine,Koungheul,Missirah Wadene
Kaffrine,Malème Hodar,Darou Miname Ii
Kaffrine,Malème Hodar,Sagna
Kaolack,Guinguinéo,Mbadakhoune
Kaolack,Guinguinéo,Nguelou
Kaolack,Kaolack,Koumbal
Kaolack,Kaolack,Ndiedieng
Kaolack,Kaolack,Ngothie
Kaolack,Nioro du Rip,Medina Sabakh
Kaolack,Nioro du Rip,Paos Koto
Kaolack,Nioro du Rip,Wack Ngouna
Kédougou,Kédougou,Bandafassi
Kédougou,Kédougou,Fongolimbi
Kédougou,Salémata,Dakately
Kédougou,Salémata,Dar Salam
Kédougou,Saraya,Bembou
Kédougou,Saraya,Sabodala
Kolda,Kolda,Dioulacolon
Kolda,Kolda,Mampatim
Kolda,Kolda,Sare Bidji
Kolda,Médina Yoro Foula,Fafacourou
Kolda,Médina Yoro Foula,Ndorna
Kolda,Médina Yoro Foula,Niaming
Kolda,Vélingara,Bonconto
Kolda,Vélingara,Pakour
Kolda,Vélingara,Sare Coly Sale
Louga,Kébémer,Darou Mousty
Louga,Kébémer,Sagatta Gueth
Louga,Linguère,Barkedji
Louga,Linguère,Dodji
Louga,Linguère,Sagatta Djolof
Louga,Linguère,Yang Yang
Louga,Louga,Coki
Louga,Louga,Mbediene
Louga,Louga,Meur Momar Sarr
Louga,Louga,Sakal
Matam,Kanel,Orkadiere
Matam,Kanel,Ouro Sidy
Matam,Matam,Agnam Civol
Matam,Matam,Ogo
Matam,Ranérou Ferlo,Velingara
Saint-Louis,Dagana,Mbane
Saint-Louis,Dagana,Ndiaye Mberess
Saint-Louis,Podor,Cas Cas
Saint-Louis,Podor,Gamadji Sarre
Saint-Louis,Podor,Salde
Saint-Louis,Podor,Thile Boubacar
Saint-Louis,Saint-Louis,Rao
Sédhiou,Bounkiling,Boghal
Sédhiou,Bounkiling,Bona
Sédhiou,Bounkiling,Diaroume
Sédhiou,Goudomp,Djibanar
Sédhiou,Goudomp,Karantaba
Sédhiou,Goudomp,Simbandi Brassou
Sédhiou,Sédhiou,Diende
Sédhiou,Sédhiou,Djibabouya
Sédhiou,Sédhiou,Djiredji
Tambacounda,Bakel,Bele
Tambacounda,Bakel,Kenieba
Tambacounda,Bakel,Moudery
Tambacounda,Goudiry,Bala
Tambacounda,Goudiry,Boynguel Bamba
Tambacounda,Goudiry,Dianke Makha
Tambacounda,Goudiry,Koulor
Tambacounda,Koupentoum,Bamba Ndiayene
Tambacounda,Koupentoum,Kouthiaba Ouolof
Tambacounda,Tambacounda,Koussanar
Tambacounda,Tambacounda,Makacoulibantang
Tambacounda,Tambacounda,Missirah
Thiès,Mbour,Fissel
Thiès,Mbour,Sessene
Thiès,Mbour,Sindia
Thiès,Thiès,Keur Moussa
Thiès,Thiès,Notto
Thiès,Thiès,Thienaba
Thiès,Thiès,Thies Nord
Thiès,Thiès,Thies Sud
Thiès,Tivaouane,Meouane
Thiès,Tivaouane,Mequane
Thiès,Tivaouane,Merina Dakhar
Thiès,Tivaouane,Niakhene
Thiès,Tivaouane,Pambal
Ziguinchor,Bignona,Kataba I
Ziguinchor,Bignona,Sindian
Ziguinchor,Bignona,Tendouck
Ziguinchor,Bignona,Tenghory
Ziguinchor,Oussouye,Cabrousse
Ziguinchor,Oussouye,Loudia Ouolof
Ziguinchor,Ziguinchor,Niaguis
Ziguinchor,Ziguinchor,Nyassia
