"","NAME_1","NAME_2","NAME_3"
"1","Dakar","Dakar","Almadies"
"2","Dakar","Dakar","Dakar Plateau"
"3","Dakar","Dakar","Grand Dakar"
"4","Dakar","Dakar","Parcelles Assainies"
"5","Dakar","Guédiawaye","Guediawaye"
"6","Dakar","Pikine","Niayes"
"7","Dakar","Pikine","Pikine Dagoudane"
"8","Dakar","Pikine","Thiaroye"
"9","Dakar","Rufisque","Bambilor"
"10","Dakar","Rufisque","Rufisque"
"11","Diourbel","Bambey","Baba Garage"
"12","Diourbel","Bambey","Lambaye"
"13","Diourbel","Bambey","Ngoye"
"14","Diourbel","Diourbel","Ndindy"
"15","Diourbel","Diourbel","Ndoulo"
"16","Diourbel","Mbacké","Kael"
"17","Diourbel","Mbacké","Ndame"
"18","Diourbel","Mbacké","Taif"
"19","Fatick","Fatick","Fimela"
"20","Fatick","Fatick","Ndiob"
"21","Fatick","Fatick","Niakhar"
"22","Fatick","Fatick","Tattaguine"
"23","Fatick","Foundiougne","Djilor"
"24","Fatick","Foundiougne","Niodior"
"25","Fatick","Foundiougne","Toubacouta"
"26","Fatick","Gossas","Colobane"
"27","Fatick","Gossas","Ouadiour"
"28","Kaffrine","Birkilane","Keur Mboucki"
"29","Kaffrine","Birkilane","Mabo"
"30","Kaffrine","Kaffrine","Gniby"
"31","Kaffrine","Kaffrine","Katakel"
"32","Kaffrine","Koungheul","Ida Mouride"
"33","Kaffrine","Koungheul","Lour Escale"
"34","Kaffrine","Koungheul","Missirah Wadene"
"35","Kaffrine","Malème Hodar","Darou Miname Ii"
"36","Kaffrine","Malème Hodar","Sagna"
"37","Kaolack","Guinguinéo","Mbadakhoune"
"38","Kaolack","Guinguinéo","Nguelou"
"39","Kaolack","Kaolack","Koumbal"
"40","Kaolack","Kaolack","Ndiedieng"
"41","Kaolack","Kaolack","Ngothie"
"42","Kaolack","Nioro du Rip","Medina Sabakh"
"43","Kaolack","Nioro du Rip","Paos Koto"
"44","Kaolack","Nioro du Rip","Wack Ngouna"
"45","Kédougou","Kédougou","Bandafassi"
"46","Kédougou","Kédougou","Fongolimbi"
"47","Kédougou","Salémata","Dakately"
"48","Kédougou","Salémata","Dar Salam"
"49","Kédougou","Saraya","Bembou"
"50","Kédougou","Saraya","Sabodala"
"51","Kolda","Kolda","Dioulacolon"
"52","Kolda","Kolda","Mampatim"
"53","Kolda","Kolda","Sare Bidji"
"54","Kolda","Médina Yoro Foula","Fafacourou"
"55","Kolda","Médina Yoro Foula","Ndorna"
"56","Kolda","Médina Yoro Foula","Niaming"
"57","Kolda","Vélingara","Bonconto"
"58","Kolda","Vélingara","Pakour"
"59","Kolda","Vélingara","Sare Coly Sale"
"60","Louga","Kébémer","Darou Mousty"
"61","Louga","Kébémer","Sagatta Gueth"
"62","Louga","Linguère","Barkedji"
"63","Louga","Linguère","Dodji"
"64","Louga","Linguère","Sagatta Djolof"
"65","Louga","Linguère","Yang Yang"
"66","Louga","Louga","Coki"
"67","Louga","Louga","Mbediene"
"68","Louga","Louga","Meur Momar Sarr"
"69","Louga","Louga","Sakal"
"70","Matam","Kanel","Orkadiere"
"71","Matam","Kanel","Ouro Sidy"
"72","Matam","Matam","Agnam Civol"
"73","Matam","Matam","Ogo"
"74","Matam","Ranérou Ferlo","Velingara"
"75","Saint-Louis","Dagana","Mbane"
"76","Saint-Louis","Dagana","Ndiaye Mberess"
"77","Saint-Louis","Podor","Cas Cas"
"78","Saint-Louis","Podor","Gamadji Sarre"
"79","Saint-Louis","Podor","Salde"
"80","Saint-Louis","Podor","Thile Boubacar"
"81","Saint-Louis","Saint-Louis","Rao"
"82","Sédhiou","Bounkiling","Boghal"
"83","Sédhiou","Bounkiling","Bona"
"84","Sédhiou","Bounkiling","Diaroume"
"85","Sédhiou","Goudomp","Djibanar"
"86","Sédhiou","Goudomp","Karantaba"
"87","Sédhiou","Goudomp","Simbandi Brassou"
"88","Sédhiou","Sédhiou","Diende"
"89","Sédhiou","Sédhiou","Djibabouya"
"90","Sédhiou","Sédhiou","Djiredji"
"91","Tambacounda","Bakel","Bele"
"92","Tambacounda","Bakel","Kenieba"
"93","Tambacounda","Bakel","Moudery"
"94","Tambacounda","Goudiry","Bala"
"95","Tambacounda","Goudiry","Boynguel Bamba"
"96","Tambacounda","Goudiry","Dianke Makha"
"97","Tambacounda","Goudiry","Koulor"
"98","Tambacounda","Koupentoum","Bamba Ndiayene"
"99","Tambacounda","Koupentoum","Kouthiaba Ouolof"
"100","Tambacounda","Tambacounda","Koussanar"
"101","Tambacounda","Tambacounda","Makacoulibantang"
"102","Tambacounda","Tambacounda","Missirah"
"103","Thiès","Mbour","Fissel"
"104","Thiès","Mbour","Sessene"
"105","Thiès","Mbour","Sindia"
"106","Thiès","Thiès","Keur Moussa"
"107","Thiès","Thiès","Notto"
"108","Thiès","Thiès","Thienaba"
"109","Thiès","Thiès","Thies Nord"
"110","Thiès","Thiès","Thies Sud"
"111","Thiès","Tivaouane","Meouane"
"112","Thiès","Tivaouane","Mequane"
"113","Thiès","Tivaouane","Merina Dakhar"
"114","Thiès","Tivaouane","Niakhene"
"115","Thiès","Tivaouane","Pambal"
"116","Ziguinchor","Bignona","Kataba I"
"117","Ziguinchor","Bignona","Sindian"
"118","Ziguinchor","Bignona","Tendouck"
"119","Ziguinchor","Bignona","Tenghory"
"120","Ziguinchor","Oussouye","Cabrousse"
"121","Ziguinchor","Oussouye","Loudia Ouolof"
"122","Ziguinchor","Ziguinchor","Niaguis"
"123","Ziguinchor","Ziguinchor","Nyassia"
