tb_region,GID_1,sh_region
DAKAR,SEN.1_1,Dakar
DIOURBEL,SEN.2_1,Diourbel
FATICK,SEN.3_1,Fatick
KAFFRINE,SEN.4_1,Kaffrine
KAOLACK,SEN.5_1,Kaolack
KEDOUGOU,SEN.6_1,Kédougou
KOLDA,SEN.7_1,Kolda
LOUGA,SEN.8_1,Louga
MATAM,SEN.9_1,Matam
ST-LOUIS,SEN.10_1,Saint-Louis
SEDHIOU,SEN.11_1,Sédhiou
TAMBACOUNDA,SEN.12_1,Tambacounda
THIES,SEN.13_1,Thiès
ZIGUINCHOR,SEN.14_1,Ziguinchor
