"","region","centre","type","annee","trimestre","tpm_fp_nc","tpm_fp_em","tpm_fp_ef","tpm_fp_am","tpm_fp_af","tpm_fp_ nc_m","tpm_fp_nc_f","tpm_rech","tpm_rech_em","tpm_rech_ef","tpm_rech_am","tpm_rech_af","tpm_rech_m","tpm_rech_m2","tpm_ret","tpm_ret_em","tpm_ret_ef","tpm_ret_am","tpm_ret_af","tpm_ret_m","tpm_ret_f","tmp_fn","tmp_fn_e","tmp_fn_a","tmp_fn_m","tmp_fn_f","tmp_fn_nf","tmp_fn_nf_e","tmp_fn_nf_a","tmp_fn_nf_m","tmp_fn_nf_f","tep_nc","tep_nc_e","tep_nc_a","tep_nc_m","tep_nc_f","cas_aut","cas_aut_enf","cas_aut_adu","cas_aut_m","cas_aut_f","tb_tfc","tb_tfc_enf","tb_tfc_enf_m","tb_tfc_enf_f","tb_tfc_a","tb_tfc_am","tb_tfc_af","tb_tfc_m","tb_tfc_f","tb_vih","tb_vih_m","tb_vih_f","vih_tb","vih_tb_m","vih_tb_f","tb_vih2","tb_vih_m2","tb_vih_f2","tb_vih_cotrim","tb_vih_cotrim_m","tb_vih_contrim_f","tb_vih_arv","tb_vih_arv_m","tb_vih_arv_f","ntr_rhz","ntr_erhz","ntr_serhz","ntr_cpx","cas_enf_genexpert","cas_enf_confirme","cas_enf_res","cas_adul_genexpert","cas_adul_confirme","cas_adul_res","tot_genexpert","tot_confirme","tot_res","pop","tpm_plus_attendus","tpm_plus_tauxdet","tbtot_cas_atendu","tbtot_taux_det","tbtot_nc_annee","gueris_total","gueris_taux","trait_tot","trait_pc","deces_total","deces_pc","echec_tot","echec_pc","abandon_tot","pdv_pc","noneval_tot","noneval_pc","eval_tot","eval_pc","com_cause","com_mobsoc","com_radio","com_vad_touss","com_vad_irr","com_vad_pdv","com_nom_touss","com_tpm_diag","com_det_ttf","com_enf_ref","com_suivis","struct_micros_pc","struct_xray_pc","struct_tbmedprem_pc","struct_tbstrepto_pc","perf_lab","pauvrety","retr_tarv","retr_tbvih","retr_vihantitb","retr_cotrimox","tpm_chimio_enf","tpm_chimio_pvvih","tb_diag_nc","tb_diag_nc_b","tb_diag_rech","tb_diag_rech_b","dur_rupt1","dur_rupt2","dur_rupt3","exstock1","exstock2","vad_tot","ntr_all","tbvih_arvtx_rate"
"11","DAKAR","Mbao","DISTRICT",2014,1,59,0,1,34,24,34,25,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,1,1,0,NA,NA,15,3,12,NA,NA,1,0,1,NA,NA,83,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA,8,NA,NA,6,NA,NA,5,75,7,13,NA,NA,0,NA,NA,0,NA,NA,0,284013,78,0.76,97,0.86,88,80,0.91,1,0.01,2,0.02,3,0.03,2,0.02,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,1,36,1,64,NA,2760,5260,NA,NA,NA,NA,NA,NA,NA,NA,87,0.75
"12","DAKAR","Pikine","DISTRICT",2014,1,134,1,1,97,35,98,36,8,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,11,0,11,NA,NA,0,0,0,NA,NA,18,2,16,NA,NA,0,0,0,NA,NA,176,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,9,NA,NA,15,NA,NA,15,NA,NA,15,NA,NA,4,161,13,37,NA,NA,0,NA,NA,0,NA,NA,0,375020,103,1.3,128,1.38,137,111,0.81,10,0.07,0,0,0,0,9,0.07,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,7,7,77,7,167,70,1887,1887,77,75,NA,NA,NA,NA,NA,NA,178,1
"13","DAKAR","Keur Massar","DISTRICT",2014,1,149,2,0,112,35,114,35,16,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,7,0,7,NA,NA,4,3,1,NA,NA,18,1,17,NA,NA,1,0,1,NA,NA,200,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,6,180,21,144,NA,NA,0,NA,NA,0,NA,NA,0,320047,88,1.69,109,1.84,155,138,0.89,9,0.06,3,0.02,0,0,5,0.03,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,73,1,538,NA,1816,3450,331,NA,NA,NA,NA,NA,NA,NA,207,1
"14","DAKAR","Rufisque","DISTRICT",2014,1,61,0,0,51,10,51,10,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,8,1,7,NA,NA,12,11,1,NA,NA,5,0,5,NA,NA,0,0,0,NA,NA,93,12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,8,78,17,NA,NA,0,NA,NA,2,NA,NA,2,229825,63,0.97,78,1.19,58,49,0.84,2,0.03,1,0.02,1,0.02,4,0.07,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,12,NA,26,2,1934,3450,21,21,NA,NA,NA,NA,NA,NA,98,NA
"15","DAKAR","Diameniadio","DISTRICT",2014,1,43,0,0,27,16,27,16,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,NA,NA,0,0,0,NA,NA,47,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,45,2,21,NA,NA,0,NA,NA,0,NA,NA,0,108241,30,1.44,37,1.28,30,24,0.8,0,0,2,0.07,0,0,3,0.1,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,19,NA,75,NA,928,1911,NA,NA,NA,NA,NA,NA,NA,NA,47,1
"16","DAKAR","Dkr-centre","DISTRICT",2014,2,98,0,0,71,27,71,27,8,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,11,1,10,NA,NA,0,0,0,NA,NA,21,2,19,NA,NA,1,0,1,NA,NA,139,3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,3,130,9,19,NA,NA,0,NA,NA,1,NA,NA,1,338285,93,1.05,115,1.21,87,78,0.9,0,0,4,0.05,2,0.02,3,0.03,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,46,NA,129,NA,1474,3028,6,NA,NA,NA,NA,4000,4000,NA,142,1
"17","DAKAR","Dkr-nord","DISTRICT",2014,2,112,0,1,82,29,82,30,10,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,39,0,39,NA,NA,3,1,2,NA,NA,24,3,21,NA,NA,2,0,2,NA,NA,191,5,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,9,NA,NA,16,NA,NA,7,NA,NA,7,NA,NA,5,175,15,32,NA,NA,0,NA,NA,0,NA,NA,0,400832,110,1.02,136,1.4,130,122,0.94,0,0,2,0.02,1,0.01,4,0.03,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,38,1,154,24,1329,3090,NA,NA,NA,NA,NA,NA,NA,NA,195,0.4375
"18","DAKAR","Dkr-ouest","DISTRICT",2014,2,43,0,0,32,11,32,11,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,0,7,NA,NA,0,0,0,NA,NA,9,0,9,NA,NA,1,0,1,NA,NA,62,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,62,2,22,NA,NA,0,NA,NA,1,NA,NA,1,159745,44,0.98,54,1.14,67,62,0.93,0,0,2,0.03,1,0.01,2,0.03,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,1,19,NA,100,NA,1505,2856,NA,NA,NA,NA,NA,NA,NA,NA,64,NA
"19","DAKAR","Dkr-sud","DISTRICT",2014,2,86,0,1,71,14,71,15,4,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,5,0,5,NA,NA,1,1,0,NA,NA,17,1,16,NA,NA,0,0,0,NA,NA,118,3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,3,NA,NA,3,110,9,1,NA,NA,0,NA,NA,1,NA,NA,1,200823,55,1.56,68,1.73,69,56,0.81,0,0,1,0.01,3,0.04,5,0.07,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,27,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,0.6
"20","DAKAR","Guédiawaye","DISTRICT",2014,2,113,0,4,81,28,81,32,10,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,6,0,6,NA,NA,2,2,0,NA,NA,21,1,20,NA,NA,0,0,0,NA,NA,153,7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,7,141,11,12,NA,NA,0,NA,NA,0,NA,NA,0,332934,92,1.23,113,1.35,66,54,0.82,1,0.02,1,0.02,1,0.02,5,0.08,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,2,2,57,2,140,5,715,2341,NA,NA,5,5,5,NA,NA,NA,159,1
"21","DAKAR","HEAR","HOPITAL",2014,2,10,4,5,0,1,4,6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,9,9,0,NA,NA,0,0,0,NA,NA,14,13,1,NA,NA,0,0,0,NA,NA,33,31,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,31,2,0,5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA
"22","DAKAR","H,Fann M Infect","HOPITAL",2014,2,21,0,0,13,8,13,8,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,3,NA,NA,0,0,0,NA,NA,39,0,39,NA,NA,1,0,1,NA,NA,64,0,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,29,NA,NA,47,NA,NA,47,NA,NA,22,NA,NA,0,0,2,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,18,10,0.56,1,0.06,2,0.11,0,0,1,0.06,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.468085106382979
"23","DAKAR","HALD","HOPITAL",2014,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,0,0,0,NA,NA,3,3,0,NA,NA,1,1,0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,1,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"24","DAKAR","HOGGY","HOPITAL",2014,2,13,1,2,6,4,7,6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,0,0,0,NA,NA,24,2,22,NA,NA,0,0,0,NA,NA,40,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,9,NA,NA,13,NA,NA,5,NA,NA,2,NA,NA,6,38,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,8,0,0,4,0.5,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0.153846153846154
"25","DAKAR","HPD","HOPITAL",2014,2,10,0,0,8,2,8,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,1,10,NA,NA,0,0,0,NA,NA,10,0,10,NA,NA,0,0,0,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA,4,NA,NA,1,29,1,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,9,7,0.78,0,0,0,0,2,0.22,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1
"26","DAKAR","Mbao","DISTRICT",2014,2,68,0,3,39,26,39,29,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,7,2,5,NA,NA,1,0,1,NA,NA,86,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,5,77,12,25,NA,NA,0,NA,NA,1,NA,NA,1,284013,78,0.87,97,0.89,76,72,0.95,0,0,0,0,1,0.01,3,0.04,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,1,36,1,64,NA,2760,5260,NA,NA,NA,NA,NA,NA,NA,NA,94,NA
"27","DAKAR","Pikine","DISTRICT",2014,2,133,1,1,96,35,97,36,13,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,24,6,18,NA,NA,1,0,1,NA,NA,19,17,2,NA,NA,0,0,0,NA,NA,204,25,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,11,NA,NA,21,NA,NA,21,NA,NA,21,NA,NA,25,173,27,34,NA,NA,0,NA,NA,4,NA,NA,4,375020,103,1.29,128,1.6,129,90,0.7,19,0.15,5,0.04,1,0.01,8,0.06,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,7,7,77,7,167,70,1887,1887,77,75,NA,NA,NA,NA,NA,NA,225,1
"28","DAKAR","Keur Massar","DISTRICT",2014,2,122,4,1,87,30,91,31,7,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,4,0,4,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,28,1,27,NA,NA,167,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,6,156,13,156,NA,NA,0,NA,NA,1,NA,NA,1,320047,88,1.39,109,1.53,110,103,0.94,2,0.02,1,0.01,2,0.02,2,0.02,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,73,1,538,NA,1816,3450,331,NA,NA,NA,NA,NA,NA,NA,175,1
"29","DAKAR","Rufisque","DISTRICT",2014,2,65,0,0,47,18,47,18,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,11,11,0,NA,NA,14,4,10,NA,NA,1,0,1,NA,NA,100,15,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,15,78,8,6,NA,NA,0,NA,NA,0,NA,NA,0,229825,63,1.03,78,1.28,71,58,0.82,3,0.04,3,0.04,0,0,7,0.1,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,12,NA,26,2,1934,3450,21,21,NA,NA,NA,NA,NA,NA,101,0
"30","DAKAR","Diameniadio","DISTRICT",2014,2,30,2,2,16,10,18,12,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,2,1,NA,NA,0,0,0,NA,NA,39,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,36,6,20,NA,NA,0,NA,NA,0,NA,NA,0,108241,30,1.01,37,1.06,36,33,0.92,1,0.03,0,0,0,0,2,0.06,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,19,NA,75,NA,928,1911,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
