"","region","centre","type","annee","trimestre","tpm_fp_nc","tpm_fp_em","tpm_fp_ef","tpm_fp_am","tpm_fp_af","tpm_fp_ nc_m","tpm_fp_nc_f","tpm_rech","tpm_rech_em","tpm_rech_ef","tpm_rech_am","tpm_rech_af","tpm_rech_m","tpm_rech_m2","tpm_ret","tpm_ret_em","tpm_ret_ef","tpm_ret_am","tpm_ret_af","tpm_ret_m","tpm_ret_f","tmp_fn","tmp_fn_e","tmp_fn_a","tmp_fn_m","tmp_fn_f","tmp_fn_nf","tmp_fn_nf_e","tmp_fn_nf_a","tmp_fn_nf_m","tmp_fn_nf_f","tep_nc","tep_nc_e","tep_nc_a","tep_nc_m","tep_nc_f","cas_aut","cas_aut_enf","cas_aut_adu","cas_aut_m","cas_aut_f","tb_tfc","tb_tfc_enf","tb_tfc_enf_m","tb_tfc_enf_f","tb_tfc_a","tb_tfc_am","tb_tfc_af","tb_tfc_m","tb_tfc_f","tb_vih","tb_vih_m","tb_vih_f","vih_tb","vih_tb_m","vih_tb_f","tb_vih2","tb_vih_m2","tb_vih_f2","tb_vih_cotrim","tb_vih_cotrim_m","tb_vih_contrim_f","tb_vih_arv","tb_vih_arv_m","tb_vih_arv_f","ntr_rhz","ntr_erhz","ntr_serhz","ntr_cpx","cas_enf_genexpert","cas_enf_confirme","cas_enf_res","cas_adul_genexpert","cas_adul_confirme","cas_adul_res","tot_genexpert","tot_confirme","tot_res","pop","tpm_plus_attendus","tpm_plus_tauxdet","tbtot_cas_atendu","tbtot_taux_det","tbtot_nc_annee","gueris_total","gueris_taux","trait_tot","trait_pc","deces_total","deces_pc","echec_tot","echec_pc","abandon_tot","pdv_pc","noneval_tot","noneval_pc","eval_tot","eval_pc","com_cause","com_mobsoc","com_radio","com_vad_touss","com_vad_irr","com_vad_pdv","com_nom_touss","com_tpm_diag","com_det_ttf","com_enf_ref","com_suivis","struct_micros_pc","struct_xray_pc","struct_tbmedprem_pc","struct_tbstrepto_pc","perf_lab","pauvrety","retr_tarv","retr_tbvih","retr_vihantitb","retr_cotrimox","tpm_chimio_enf","tpm_chimio_pvvih","tb_diag_nc","tb_diag_nc_b","tb_diag_rech","tb_diag_rech_b","dur_rupt1","dur_rupt2","dur_rupt3","exstock1","exstock2","vad_tot","ntr_all","tbvih_arvtx_rate"
"1","DAKAR","Dkr-centre","DISTRICT",2014,1,99,0,1,70,28,70,29,8,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,8,1,7,NA,NA,0,0,0,NA,NA,14,1,13,NA,NA,1,0,1,NA,NA,134,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,3,121,13,50,NA,NA,0,NA,NA,3,NA,NA,3,338285,93,1.06,115,1.17,94,81,0.86,2,0.02,4,0.04,0,0,7,0.07,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,46,NA,129,NA,1474,3028,6,NA,NA,NA,NA,4000,4000,NA,137,1
"2","DAKAR","Dkr-nord","DISTRICT",2014,1,136,2,0,89,45,91,45,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,20,0,20,NA,NA,10,2,8,NA,NA,13,1,12,NA,NA,4,0,4,NA,NA,190,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,5,175,11,29,NA,NA,0,NA,NA,3,NA,NA,3,400832,110,1.23,136,1.39,102,90,0.88,2,0.02,3,0.03,2,0.02,2,0.02,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,38,1,154,24,1329,3090,NA,NA,NA,NA,NA,NA,NA,NA,191,1
"3","DAKAR","Dkr-ouest","DISTRICT",2014,1,59,1,1,49,8,50,9,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,1,4,NA,NA,0,0,0,NA,NA,9,2,7,NA,NA,0,0,0,NA,NA,79,5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,NA,NA,12,NA,NA,10,NA,NA,10,NA,NA,5,71,5,27,NA,NA,0,NA,NA,1,NA,NA,1,159745,44,1.34,54,1.45,45,39,0.87,1,0.02,1,0.02,1,0.02,3,0.07,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,1,19,NA,100,NA,1505,2856,NA,NA,NA,NA,NA,NA,NA,NA,81,0.833333333333333
"4","DAKAR","Dkr-sud","DISTRICT",2014,1,77,0,0,61,16,61,16,6,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,5,0,5,NA,NA,0,0,0,NA,NA,14,0,14,NA,NA,0,0,0,NA,NA,113,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,97,17,4,NA,NA,0,NA,NA,0,NA,NA,0,200823,55,1.39,68,1.65,90,75,0.83,1,0.01,1,0.01,4,0.04,4,0.04,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,1,1,27,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,1
"5","DAKAR","Guédiawaye","DISTRICT",2014,1,112,1,0,68,43,69,43,12,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,6,0,6,NA,NA,1,0,1,NA,NA,14,2,12,NA,NA,0,0,0,NA,NA,147,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,3,131,14,18,NA,NA,0,NA,NA,0,NA,NA,0,332934,92,1.22,113,1.3,63,56,0.89,0,0,2,0.03,0,0,4,0.06,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,2,2,57,2,140,5,715,2341,NA,NA,5,5,5,NA,NA,NA,148,1
"6","DAKAR","HEAR","HOPITAL",2014,1,8,4,4,0,0,4,4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA,4,4,0,NA,NA,16,15,1,NA,NA,0,0,0,NA,NA,34,32,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,32,9,0,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,2,0,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"7","DAKAR","H,Fann M Infect","HOPITAL",2014,1,12,0,0,7,5,7,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,0,0,0,NA,NA,23,0,23,NA,NA,1,0,1,NA,NA,38,0,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,NA,NA,26,NA,NA,22,NA,NA,20,NA,NA,0,43,2,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,19,11,0.58,1,0.05,3,0.16,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0.769230769230769
"8","DAKAR","HALD","HOPITAL",2014,1,4,0,0,1,3,1,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,0,8,NA,NA,0,0,0,NA,NA,20,2,18,NA,NA,0,0,0,NA,NA,32,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,30,1,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA
"9","DAKAR","HOGGY","HOPITAL",2014,1,20,1,0,16,3,17,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,31,3,28,NA,NA,0,0,0,NA,NA,51,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,47,4,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,37,13,0.35,9,0.24,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"10","DAKAR","HPD","HOPITAL",2014,1,7,0,0,6,1,6,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18,3,15,NA,NA,0,0,0,NA,NA,16,0,16,NA,NA,0,0,0,NA,NA,41,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,3,37,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,17,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,26,NA,13,7,0.29,0,0.5,0.32,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1
